  step          time          temperature          energy_tot          energy_kin          energy_pot
 397           198.50             314.51          -149.918468            0.008964         -149.927432
 398           199.00             306.34          -149.918494            0.008731         -149.927225
 399           199.50             273.91          -149.918476            0.007807         -149.926283
 400           200.00             222.04          -149.918400            0.006328         -149.924729
 401           200.50             171.44          -149.918285            0.004886         -149.923172
 402           201.00             149.41          -149.918177            0.004259         -149.922436
 403           201.50             173.58          -149.918126            0.004947         -149.923073
 404           202.00             238.82          -149.918148            0.006807         -149.924955
 405           202.50             318.36          -149.918219            0.009074         -149.927293
 406           203.00             379.79          -149.918296            0.010824         -149.929121
 407           203.50             403.20          -149.918346            0.011492         -149.929838
 408           204.00             388.86          -149.918359            0.011083         -149.929442
 409           204.50             352.58          -149.918347            0.010049         -149.928396
 410           205.00             314.77          -149.918327            0.008971         -149.927298
 411           205.50             290.17          -149.918316            0.008270         -149.926586
 412           206.00             282.34          -149.918322            0.008047         -149.926369
 413           206.50             283.74          -149.918341            0.008087         -149.926428
 414           207.00             280.97          -149.918355            0.008008         -149.926363
 415           207.50             263.08          -149.918341            0.007498         -149.925839
 416           208.00             229.45          -149.918284            0.006540         -149.924824
 417           208.50             193.14          -149.918191            0.005505         -149.923696
 418           209.00             175.88          -149.918096            0.005013         -149.923109
 419           209.50             195.36          -149.918045            0.005568         -149.923613
 420           210.00             251.34          -149.918063            0.007164         -149.925227
 421           210.50             322.21          -149.918134            0.009183         -149.927318
 422           211.00             377.44          -149.918213            0.010758         -149.928971
 423           211.50             396.04          -149.918263            0.011288         -149.929551
 424           212.00             376.70          -149.918271            0.010736         -149.929008
 425           212.50             334.87          -149.918248            0.009544         -149.927792
 426           213.00             292.08          -149.918214            0.008325         -149.926538
 427           213.50             265.09          -149.918187            0.007556         -149.925743
 428           214.00             259.30          -149.918181            0.007391         -149.925572
 429           214.50             267.91          -149.918195            0.007636         -149.925831
 430           215.00             276.30          -149.918213            0.007875         -149.926088
 431           215.50             270.15          -149.918211            0.007700         -149.925911
 432           216.00             244.48          -149.918169            0.006968         -149.925137
 433           216.50             209.35          -149.918082            0.005967         -149.924049
 434           217.00             187.44          -149.917983            0.005342         -149.923325
 435           217.50             201.42          -149.917923            0.005741         -149.923664
 436           218.00             256.55          -149.917941            0.007312         -149.925253
 437           218.50             332.53          -149.918025            0.009478         -149.927503
 438           219.00             394.70          -149.918124            0.011250         -149.929374
 439           219.50             415.98          -149.918190            0.011856         -149.930046
 440           220.00             391.55          -149.918203            0.011160         -149.929363
